ra,dec,name,hd,vmag,bv,hex 
9.197083,15.231667,53 Psc,3379,5.89,-0.15,#bbccff
9.28,24.014167,,3411,6.47,null,#ffffff
9.337917,35.399444,,3421,5.48,0.88,#ffe8cf
9.947083,82.493889,,3440,6.4,0.55,#fff5ef
9.33625,-24.767222,,3443,5.57,0.72,#ffeede
9.155833,-65.124722,,3444,6.42,1.26,#ffdcb3
9.377083,3.135278,,3457,6.39,1.33,#ffdaae
9.325417,-54.394167,,3488,6.41,1,#ffe5c6
9.63875,29.311667,30Eps And,3546,4.37,0.87,#ffe8d0
9.79125,49.354444,,3574,5.43,1.64,#ffcc90
9.832083,30.860833,31Del And,3627,3.27,1.28,#ffdbb1
9.840833,21.250556,54 Psc,3651,5.87,0.85,#ffe9d2
9.981667,21.438333,55 Psc,3690,5.36,1.16,#ffdfba
10.127083,56.537222,18Alp Cas,3712,2.23,1.17,#ffdfb9
9.67,-73.137222,,3719,6.85,0.11,#e0e5ff
9.99125,-33.961667,,3735,6.69,0.51,#fff6f3
9.966667,-44.796667,,3750,6.01,1.14,#ffe0bb
10.119167,-16.516944,,3794,6.49,0.92,#ffe7cc
10.137083,-23.804444,,3795,6.14,0.7,#ffefe0
10.176667,-4.351944,,3807,5.91,1.1,#ffe2bf
10.28,39.458611,32 And,3817,5.33,0.89,#ffe8ce
10.11,-59.454444,,3823,5.89,0.55,#fff5ef
10.514167,66.1475,,3856,5.83,1.04,#ffe3c3
10.4,24.629167,,3883,6.04,0.26,#efefff
10.51625,50.5125,19Xi Cas,3901,4.8,-0.11,#c2d0ff
10.331667,-46.085,Mu Phe,3919,4.59,0.97,#ffe5c8
10.629583,58.753333,,3924,6.17,-0.01,#ccd8ff
10.443333,-56.501667,Xi Phe,3980,5.7,0.2,#e9ecff
10.867083,47.024722,20Pi Cas,4058,4.94,0.18,#e7eaff
10.67875,-38.463333,Lam1Scl,4065,6.06,-0.03,#ccd8ff
10.674167,-60.2625,,4088,5.98,1.32,#ffdaae
10.618333,-65.468056,Rho Tuc,4089,5.39,0.5,#fff7f5
10.8975,-17.986667,16Bet Cet,4128,2.04,1.02,#ffe4c4
11.11,47.864167,,4142,5.67,-0.12,#c0cfff
10.959167,-12.011667,,4145,6.02,1.1,#ffe2bf
10.838333,-57.463056,Eta Phe,4150,4.36,0,#ffffff
11.4125,74.988056,21 Cas,4161,5.66,0.05,#dae2ff
11.18125,48.284444,22Omi Cas,4180,4.54,-0.07,#c8d5ff
11.0475,-10.609444,17Phi1Cet,4188,4.76,1.01,#ffe4c5
11.050417,-38.421667,Lam2Scl,4211,5.9,1.16,#ffdfba
11.321667,55.221667,,4222,5.42,0.04,#d9e1ff
11.185,-22.006111,,4247,5.24,0.33,#f6f4ff
11.237917,-42.676667,,4293,5.94,0.28,#f1f0ff
11.134583,-62.497778,,4294,6.07,0.44,#fef9fb
11.6625,69.325,,4295,6.33,null,#ffffff
11.350417,-4.629167,,4301,6.15,1.62,#ffce93
11.25,-53.715,,4304,6.15,0.53,#fff5f1
11.369583,-12.880833,18 Cet,4307,6.15,0.61,#fff2e9
11.562917,55.305278,,4321,6.52,null,#ffffff
11.545417,44.861389,,4335,6.05,-0.07,#c8d5ff
11.42375,-16.424167,,4338,6.47,0.31,#f4f2ff
11.676667,59.574444,,4362,6.39,1.09,#ffe2bf
11.942083,74.8475,23 Cas,4382,5.41,-0.08,#c7d4ff
11.44,-47.551667,,4391,5.8,0.64,#fff1e6
11.549167,-22.521944,,4398,5.5,0.98,#ffe5c7
11.6375,15.475556,57 Psc,4408,5.38,1.65,#ffcc8f
12.037917,72.675,,4440,5.87,1.01,#ffe4c5
11.75625,11.973889,58 Psc,4482,5.5,0.97,#ffe5c8
11.806667,19.578889,59 Psc,4490,6.13,0.27,#f0f0ff
11.834583,24.267222,34Zet And,4502,4.06,1.12,#ffe1bd
11.848333,6.740833,60 Psc,4526,5.99,0.94,#ffe6ca
11.978333,20.925278,61 Psc,4568,6.54,0.5,#fff7f5
11.930417,-18.061389,,4585,5.7,1.3,#ffdbb0
12.275,57.815833,24Eta Cas,4614,3.44,0.57,#fff4ed
12.004583,-21.7225,,4622,5.57,-0.06,#cad6ff
12.0725,7.3,62 Psc,4627,5.93,1.1,#ffe2bf
12.095833,5.280556,,4628,5.75,0.88,#ffe8cf
12.20875,50.968333,25Nu Cas,4636,4.89,-0.11,#c2d0ff
12.170833,7.585,63Del Psc,4656,4.43,1.5,#ffd5a1
12.244583,16.940556,64 Psc,4676,5.07,0.51,#fff6f3
12.453333,41.078889,35Nu And,4727,4.53,-0.15,#bbccff
12.356667,-13.561389,,4730,5.59,1.3,#ffdbb0
12.307917,-24.136389,,4732,5.9,0.95,#ffe6ca
12.23625,-46.697778,,4737,6.27,0.9,#ffe8ce
12.389167,-23.361667,,4772,6.28,0.13,#e2e7ff
12.681667,64.2475,,4775,5.39,0.49,#fff7f6
12.57625,45.002222,,4778,6.15,0.01,#d9e1ff
12.531667,-10.644444,19Phi2Cet,4813,5.19,0.5,#fff7f5
12.1475,-74.923333,Lam Hyi,4815,5.07,1.37,#ffd9ab
12.818333,61.805833,,4817,6.07,1.88,#ff9d33
12.739167,51.508056,,4818,6.39,0.28,#f1f0ff
12.515417,-43.394722,,4849,6.48,0.29,#f2f1ff
13.72125,83.707222,,4853,5.62,0.09,#dee4ff
12.890417,51.571111,,4881,6.21,null,#ffffff
12.671667,-50.986944,Rho Phe,4919,5.22,0.36,#f9f6ff
12.82625,3.385,,4928,6.37,1.07,#ffe2c1
13.267083,61.124167,,5015,4.82,0.53,#fff5f1
12.967083,-43.709167,,5042,6.9,0.35,#f8f6ff
13.2225,38.548611,,5066,6.69,0.02,#d9e1ff
13.169167,-24.005833,,5098,5.46,1.24,#ffddb4
13.252083,-1.144167,20 Cet,5112,4.77,1.57,#ffd199
13.3675,37.418056,,5118,6.06,1.14,#ffe0bb
13.448333,52.689167,,5128,6.27,0.19,#e8ebff
13.301667,-24.776944,,5156,6.46,0.44,#fef9fb
13.10125,-69.504444,Lam1Tuc,5190,6.22,0.56,#fff4ee
13.750417,58.972778,26Ups1Cas,5234,4.83,1.21,#ffdeb7
13.646667,19.188333,66 Psc,5267,5.74,-0.01,#ccd8ff
13.573333,-8.740833,21 Cet,5268,6.16,0.92,#ffe7cc
13.771667,48.678611,,5273,6.27,1.68,#ffc989
13.407917,-62.871389,,5276,5.7,1.56,#ffd19a
13.741667,23.628333,36 And,5286,5.47,1,#ffe5c6
13.81125,24.556944,,5316,6.2,1.62,#ffce93
14.05375,57.996667,,5343,6.21,1.37,#ffd9ab
14.231667,68.776111,,5357,6.37,0.38,#fbf7ff
13.99375,27.209444,67 Psc,5382,6.09,0.14,#e3e8ff
13.926667,-7.347222,,5384,5.85,1.52,#ffd39f
14.177083,60.716667,27Gam Cas,5394,2.47,-0.15,#bbccff
14.165833,59.181111,28Ups2Cas,5395,4.63,0.96,#ffe5c9
14.19625,60.362778,,5408,5.55,-0.07,#c8d5ff
14.00625,-11.266667,22Phi3Cet,5437,5.31,1.52,#ffd39f
13.98125,-27.775556,,5445,6.1,1.67,#ffca8b
14.188333,38.499444,37Mu And,5448,3.87,0.13,#e2e7ff
13.75125,-69.526944,Lam2Tuc,5457,5.45,1.09,#ffe2bf
14.301667,23.4175,38Eta And,5516,4.42,0.94,#ffe6ca
14.415417,45.839722,,5526,6.12,1.02,#ffe4c4
14.629583,66.352222,,5550,5.97,-0.02,#ccd8ff
14.459167,28.992222,68 Psc,5575,5.42,1.08,#ffe2c0
14.559167,33.950833,,5608,5.98,1,#ffe5c6
14.477083,13.695833,,5612,6.32,0.89,#ffe8ce
14.57875,21.404444,,5641,6.37,0.09,#dee4ff
15.129167,70.983056,,5715,6.39,0.13,#e2e7ff
14.682917,-11.38,23Phi4Cet,5722,5.61,0.97,#ffe5c8
14.651667,-29.3575,Alp Scl,5737,4.31,-0.16,#b9caff
14.593333,-60.696389,,5771,6.23,0.1,#dfe5ff
15.014167,44.711111,,5788,6.84,null,#ffffff
15.015,44.713333,,5789,6.04,-0.01,#ccd8ff
14.957083,6.483056,,5820,6.11,1.67,#ffca8b
17.18625,86.256944,,5848,4.25,1.21,#ffdeb7
23.46,89.015556,,5914,6.46,0.11,#e0e5ff
15.576667,51.035,,6028,6.47,null,#ffffff
15.32625,-38.916667,Xi Scl,6055,5.59,1.18,#ffdfb9
15.75625,47.376111,,6114,6.45,0.25,#eeefff
15.72625,41.345,39 And,6116,5.98,0.16,#e5e9ff
15.704583,31.804444,69Sig Psc,6118,5.5,-0.05,#ccd8ff
15.904167,61.075,,6130,5.92,0.49,#fff7f6
15.61,-31.551944,Sig Scl,6178,5.5,0.08,#dde3ff
15.735833,7.89,71Eps Psc,6186,4.28,0.96,#ffe5c9
15.5075,-57.0025,Ome Phe,6192,6.11,0.94,#ffe6ca
15.760833,-4.836667,25 Cet,6203,5.43,1.11,#ffe1be
16.081667,61.580278,,6210,5.84,0.54,#fff5f0
16.01,52.502222,,6211,5.99,1.47,#ffd5a3
15.705,-46.3975,,6245,5.36,0.9,#ffe8ce
15.823333,-29.525833,,6269,6.29,0.93,#ffe6cb
15.954167,1.366667,26 Cet,6288,6.04,0.27,#f0f0ff
16.195,51.01,,6300,6.54,-0.08,#c7d4ff
16.115,29.658611,,6301,6.19,0.43,#fef9fc
15.67875,-65.456111,,6311,6.21,1.64,#ffcc90
16.151667,39.991111,,6314,6.72,0.31,#f4f2ff
19.05625,87.145278,,6319,6.25,1.12,#ffe1bd
16.219167,5.656389,73 Psc,6386,6,1.51,#ffd4a0
16.2725,14.946111,72 Psc,6397,5.68,0.41,#fef9fe
16.595,62.761667,,6416,6.54,0.19,#e8ebff
16.420417,21.473333,74Psi1Psc,6456,5.34,-0.03,#ccd8ff
16.42375,21.465278,74Psi1Psc,6457,5.56,-0.07,#c8d5ff
17.30125,80.011667,,6473,6.29,null,#ffffff
16.455,4.908333,77 Psc,6479,6.35,0.38,#fbf7ff
16.403333,-9.979167,27 Cet,6482,6.12,1.01,#ffe4c5
16.750833,56.935,,6497,6.43,1.18,#ffdfb9
16.52125,-9.839444,28 Cet,6530,5.58,0.01,#d9e1ff
16.789583,53.498333,,6540,6.38,null,#ffffff
16.64,12.956111,75 Psc,6557,6.12,0.96,#ffe5c9
16.532083,-23.9925,,6559,6.14,1.09,#ffe2bf
17.068333,54.920278,30Mu Cas,6582,5.17,0.69,#ffefe1
16.520833,-46.718611,Bet Phe,6595,3.31,0.89,#ffe8ce
16.610417,-35.660833,,6619,6.61,0.14,#e3e8ff
17.00375,43.941944,41 And,6658,5.03,0.11,#e0e5ff
16.804583,-23.996389,,6668,6.37,0.23,#ecedff
17.13875,58.263611,,6676,5.79,-0.01,#ccd8ff
17.005417,32.012222,78 Psc,6680,6.25,0.4,#fef9ff
16.988333,20.739167,79Psi2Psc,6695,5.55,0.13,#e2e7ff
16.9425,-9.785556,30 Cet,6706,5.82,0.43,#fef9fc
17.0925,5.649722,80 Psc,6763,5.52,0.34,#f7f5ff
16.949583,-41.486944,Ups Phe,6767,5.21,0.16,#e5e9ff
16.827917,-61.775278,Iot Tuc,6793,5.37,0.88,#ffe8cf
18.069583,79.673889,,6798,5.64,0.01,#d9e1ff
17.1475,-10.182222,31Eta Cet,6805,3.45,1.16,#ffdfba
17.375833,47.241944,42Phi And,6811,4.25,-0.07,#c8d5ff
17.66375,68.778611,31 Cas,6829,5.29,-0.02,#ccd8ff
17.432917,35.620556,43Bet And,6860,2.06,1.58,#ffd098
17.09625,-55.245833,Zet Phe,6882,3.92,-0.08,#c7d4ff
17.455,19.658611,81Psi3Psc,6903,5.55,0.69,#ffefe1
17.578333,42.081389,44 And,6920,5.65,0.6,#fff3ea
17.580833,25.457778,,6953,5.8,1.47,#ffd5a3
17.856667,64.202778,,6960,5.55,-0.07,#c8d5ff
17.775833,55.149722,33The Cas,6961,4.33,0.17,#e6eaff
17.547917,15.674167,,6966,6.06,1.49,#ffd5a1
17.9225,65.018889,32 Cas,6972,5.57,-0.09,#c5d3ff
17.55,-8.906111,32 Cet,6976,6.4,1.04,#ffe3c3
17.64,2.445556,33 Cet,7014,5.95,1.51,#ffd4a0
17.792917,37.724167,45 And,7019,5.81,-0.1,#c4d2ff
17.778333,31.424722,82 Psc,7034,5.16,0.23,#ecedff
17.530833,-57.694444,,7082,6.41,0.89,#ffe8ce
17.863333,21.034722,84Chi Psc,7087,4.66,1.03,#ffe3c4
17.915,30.089722,83Tau Psc,7106,4.51,1.09,#ffe2bf
17.93125,-2.251111,34 Cet,7147,5.94,1.4,#ffd8a9
18.29125,61.705833,,7157,6.41,0.01,#d9e1ff
18.141667,45.337778,,7158,6.11,1.64,#ffcc90
18.247917,30.064167,,7229,6.19,1,#ffe5c6
19.127917,79.91,,7238,6.26,0.42,#fef9fd
18.0975,-30.802222,,7259,6.52,0.48,#fff7f7
18.189167,-37.856389,,7312,5.92,0.28,#f1f0ff
18.437083,24.583611,85Phi Psc,7318,4.65,1.04,#ffe3c3
18.432917,7.575278,86Zet Psc,7344,5.24,0.32,#f5f3ff
18.43875,7.578333,86Zet Psc,7345,6.3,0.49,#fff7f6
18.520833,28.529722,,7351,6.43,1.7,#ffc885
18.531667,16.133611,87 Psc,7374,5.98,-0.08,#c7d4ff
18.6,-7.923056,37 Cet,7439,5.13,0.46,#fff8f9
18.676667,6.995278,88 Psc,7446,6.03,1.08,#ffe2c0
18.705,-0.973889,38 Cet,7476,5.7,0.42,#fef9fd
19.102083,48.082222,,7546,6.61,-0.05,#ccd8ff
18.79625,-45.531389,Nu Phe,7570,4.96,0.58,#fff3ec
19.078333,33.114722,,7578,6.02,1.15,#ffe0bb
19.27125,44.901944,,7647,6.34,null,#ffffff
19.15125,-2.500278,39 Cet,7672,5.41,0.9,#ffe8ce
19.350417,31.744722,,7724,6.73,null,#ffffff
20.08125,77.570556,,7732,6.31,0.92,#ffe7cc
19.5425,47.419722,,7758,6.25,1.35,#ffdaad
18.942083,-68.876111,Kap Tuc,7788,4.86,0.47,#fff8f8
19.45,3.614444,89 Psc,7804,5.16,0.07,#dce3ff
19.695833,37.386111,,7853,6.46,0.23,#ecedff
19.265,-66.398056,,7916,6.24,0.05,#dae2ff
20.49625,76.238889,,7925,6.38,0.28,#f1f0ff
20.020417,58.231667,34Phi Cas,7927,4.98,0.68,#ffefe2
19.866667,27.264167,90Ups Psc,7964,4.76,0.03,#d9e1ff
20.271667,64.658333,35 Cas,8003,6.34,0.09,#dee4ff
19.95125,-0.508889,42 Cet,8036,5.87,0.64,#fff1e6
20.945,78.725833,,8065,6.07,0.39,#fcf8ff
20.14375,-3.246944,,8120,6.23,1.02,#ffe4c4
20.115833,-11.238889,,8121,6.15,1.11,#ffe1be
20.280833,28.738056,91 Psc,8126,5.23,1.39,#ffd8a9
20.585,45.528889,46Xi And,8207,4.88,1.08,#ffe2c0
20.84,58.143056,,8272,6.45,null,#ffffff
20.654167,1.726389,,8334,6.2,1.52,#ffd39f
20.645,-0.449722,43 Cet,8335,6.49,1.08,#ffe2c0
20.627083,-19.081389,,8350,6.35,0.48,#fff7f7
20.919167,37.715,47 And,8374,5.58,0.26,#efefff
20.90625,34.245833,,8375,6.29,0.83,#ffe9d3
20.85375,20.468889,,8388,5.97,1.71,#ffc682
21.44375,70.98,,8424,6.49,null,#ffffff
21.483333,68.13,36Psi Cas,8491,4.74,1.05,#ffe3c3
20.879167,-30.945556,,8498,5.84,1.61,#ffcf94
21.010417,-8.0075,44 Cet,8511,6.21,0.23,#ecedff
21.005833,-8.183333,45The Cet,8512,3.6,1.06,#ffe2c2
21.454167,60.235278,37Del Cas,8538,2.68,0.13,#e2e7ff
21.085833,-6.914722,,8556,5.91,0.41,#fef9fe
21.165833,-15.660278,,8589,6.14,0.91,#ffe7cd
21.202917,-2.848611,,8599,6.15,0.96,#ffe5c9
21.39875,23.511667,,8634,6.18,0.43,#fef9fc
21.17,-41.4925,,8651,5.42,1.04,#ffe3c3
21.5775,43.457778,,8671,5.96,0.49,#fff7f6
21.53625,34.579722,,8673,6.31,0.47,#fff8f8
21.174583,-44.528333,,8681,6.26,1.14,#ffe0bb
21.405,-14.598889,46 Cet,8705,4.9,1.23,#ffddb5
21.56375,19.172222,93Rho Psc,8723,5.38,0.39,#fcf8ff
21.67375,19.240278,94 Psc,8763,5.5,1.11,#ffe1be
21.775833,34.3775,,8774,6.27,0.46,#fff8f9
21.61375,-0.398611,,8779,6.41,1.24,#ffddb4
21.914167,45.406667,48Ome And,8799,4.83,0.42,#fef9fd
21.860833,41.100556,,8801,6.46,0.27,#f0f0ff
21.722917,3.535278,,8803,6.58,-0.04,#ccd8ff
21.272083,-64.369444,,8810,5.93,1.56,#ffd19a
21.715,-13.056667,47 Cet,8829,5.66,0.35,#f8f6ff
21.945833,40.335556,,8837,6.6,-0.04,#ccd8ff
21.742083,-32.543056,,8879,5.79,3.86,#fff9ff
37.952917,89.264167,1Alp UMi,8890,2.02,0.6,#fff3ea
21.944167,-10.901667,,8921,6.13,1.32,#ffdaae
22.095417,7.961389,,8949,6.2,1.12,#ffe1bd
22.8075,70.264722,38 Cas,9021,5.81,0.47,#fff8f8
22.717917,66.098056,,9030,6.14,0.08,#dde3ff
22.09125,-43.318333,Gam Phe,9053,3.41,1.57,#ffd199
22.525833,47.007222,49 And,9057,5.27,1,#ffe5c6
22.180417,-33.763611,,9065,6.58,0.3,#f3f2ff
22.470417,18.355556,97 Psc,9100,6.02,0.14,#e3e8ff
22.400417,-21.629444,48 Cet,9132,5.12,0.02,#d9e1ff
22.54625,6.143889,98Mu Psc,9138,4.84,1.37,#ffd9ab
22.376667,-46.756389,,9184,6.31,1.66,#ffcb8d
22.595417,-26.207778,,9228,5.93,1.34,#ffdaad
22.870833,15.345833,99Eta Psc,9270,3.62,0.97,#ffe5c8
23.031667,34.8,,9298,6.39,-0.12,#c0cfff
23.3575,58.3275,,9352,5.7,1.52,#ffd39f
22.812917,-49.072778,Del Phe,9362,3.95,0.99,#ffe5c6
22.930417,-30.283333,,9377,5.82,1.08,#ffe2c0
23.482917,59.231944,39Chi Cas,9408,4.71,1,#ffe5c6
22.912917,-45.575556,,9414,6.17,0.06,#dbe2ff
23.264583,-9.014722,,9484,6.59,-0.04,#ccd8ff
23.233333,-36.865278,,9525,5.51,1.02,#ffe4c4
23.569167,37.237222,,9531,5.88,-0.07,#c8d5ff
23.15125,-49.727778,,9544,6.28,0.46,#fff8f9
23.42875,-7.025278,,9562,5.76,0.64,#fff1e6
24.34375,74.300833,,9612,6.58,0.03,#d9e1ff
23.704583,18.460556,,9640,5.89,1.52,#ffd39f
23.6575,-15.676111,49 Cet,9672,5.63,0.07,#dce3ff
23.96875,41.076389,,9712,6.38,1.11,#ffe1be
23.71125,-31.892222,,9742,6.12,1.11,#ffe1be
24.113333,48.722778,,9746,5.92,1.21,#ffdeb7
23.943333,14.661389,101 Psc,9766,6.22,-0.04,#ccd8ff
24.62875,73.04,40 Cas,9774,5.28,0.96,#ffe5c9
23.978333,17.433611,,9780,5.8,null,#ffffff
24.199167,41.405556,50Ups And,9826,4.09,0.54,#fff5f0
23.995833,-15.400278,50 Cet,9856,5.42,1.21,#ffdeb7
23.813333,-58.139444,,9896,6.01,0.38,#fbf7ff
24.531667,57.9775,,9900,5.56,1.38,#ffd8aa
