ra1,dec1,ra2,dec2,name 
213.915417,19.1825,220.287083,13.728333,Bootes
67.70875,-44.953889,70.140417,-41.863889,Caelum
70.514583,-37.144444,70.140417,-41.863889,Caelum
80.639583,79.231111,57.589583,71.332222,Camelopardalis
52.267083,59.940278,57.589583,71.332222,Camelopardalis
52.267083,59.940278,73.5125,66.342778,Camelopardalis
73.5125,66.342778,57.589583,71.332222,Camelopardalis
124.12875,9.185556,131.17125,18.154167,Cancer
134.621667,11.857778,131.17125,18.154167,Cancer
130.82125,21.468611,131.17125,18.154167,Cancer
130.82125,21.468611,131.674167,28.76,Cancer
130.82125,21.468611,125.01625,27.217778,Cancer
194.007083,38.318333,188.435417,41.3575,Canes Venatici
103.5475,-12.038611,105.939583,-15.633333,Canis Major
104.034167,-17.054167,105.939583,-15.633333,Canis Major
103.5475,-12.038611,104.034167,-17.054167,Canis Major
101.287083,-16.716111,104.034167,-17.054167,Canis Major
101.287083,-16.716111,99.170833,-19.255833,Canis Major
95.675,-17.955833,99.170833,-19.255833,Canis Major
98.764167,-22.964722,99.170833,-19.255833,Canis Major
103.554167,-23.928333,99.170833,-19.255833,Canis Major
103.554167,-23.928333,105.429583,-27.934722,Canis Major
104.65625,-28.972222,105.429583,-27.934722,Canis Major
104.65625,-28.972222,102.460417,-32.508611,Canis Major
104.65625,-28.972222,95.078333,-30.063333,Canis Major
107.097917,-26.393333,105.429583,-27.934722,Canis Major
107.097917,-26.393333,108.702917,-26.772778,Canis Major
111.02375,-29.303056,108.702917,-26.772778,Canis Major
107.097917,-26.393333,105.75625,-23.833333,Canis Major
101.287083,-16.716111,105.75625,-23.833333,Canis Major
114.825417,5.225,111.7875,8.289444,Canis Minor
304.51375,-12.544722,305.252917,-14.781389,Capricornus
311.52375,-25.270833,305.252917,-14.781389,Capricornus
316.486667,-17.232778,305.252917,-14.781389,Capricornus
316.486667,-17.232778,312.955417,-26.919167,Capricornus
316.486667,-17.232778,321.666667,-22.411389,Capricornus
316.486667,-17.232778,320.561667,-16.834444,Capricornus
321.666667,-22.411389,320.561667,-16.834444,Capricornus
325.022917,-16.662222,320.561667,-16.834444,Capricornus
325.022917,-16.662222,326.76,-16.127222,Capricornus
95.987917,-52.695833,125.628333,-59.509722,Carina
125.628333,-59.509722,122.383333,-47.336667,Carina
95.987917,-52.695833,99.440417,-43.196111,Carina
130.154167,-59.761111,125.628333,-59.509722,Carina
137.741667,-58.966944,130.154167,-59.761111,Carina
137.741667,-58.966944,130.154167,-59.761111,Carina
137.741667,-58.966944,139.2725,-59.275278,Carina
154.270833,-61.332222,139.2725,-59.275278,Carina
154.270833,-61.332222,156.969583,-58.739444,Carina
163.373333,-58.853333,156.969583,-58.739444,Carina
163.373333,-58.853333,167.1475,-58.975,Carina
