ra,dec,Name,HD,Vmag,bv
211.604583,-59.715556,          ,122879, 6.42, 0.12
210.460833,+68.678611,          ,122909, 6.34, 1.40
211.156250, +2.297500,          ,122910, 6.28, 1.02
211.308333,-16.335833,          ,122958, 6.56, 0.10
211.511667,-41.179722,   Chi Cen,122980, 4.36,-0.19
211.545417,-43.091944,          ,123004, 6.20, 0.98
211.592917,-26.682500, 49Pi  Hya,123123, 3.27, 1.12
211.670833,-36.370000,  5The Cen,123139, 2.06, 1.01
212.059583,-63.208056,          ,123151, 6.40, 1.02
211.678333, -9.313333, 95    Vir,123255, 5.46, 0.34
211.097083,+64.375833, 11Alp Dra,123299, 3.65,-0.05
212.234583,-59.276667,          ,123335, 6.34, 0.05
212.628750,-70.305556,          ,123377, 6.05, 1.74
212.216250,-43.471111,          ,123445, 6.17,-0.06
212.757917,-69.719722,          ,123492, 6.06, 0.18
212.395833,-51.504722,          ,123515, 6.00,-0.06
212.478333,-53.439167,          ,123569, 4.75, 0.94
212.252500,-10.334444, 96    Vir,123630, 6.47, 1.00
211.982500,+43.854444,          ,123657, 5.27, 1.59
212.072083,+49.458056, 13    Boo,123782, 5.25, 1.65
212.710417,-16.301944,          ,123934, 4.91, 1.72
212.191667,+59.337778,          ,123977, 6.46, 1.02
214.557500,-81.007778,   Eta Aps,123998, 4.91, 0.25
212.599583,+25.091667, 12    Boo,123999, 4.83, 0.54
211.735000,+74.593611,  3    UMi,124063, 6.45, 0.14
214.228750,-77.663889,          ,124099, 6.47, 1.42
212.880000, +1.362222,          ,124115, 6.43, 0.48
213.318333,-53.665833,          ,124147, 5.56, 1.44
213.102083,-24.364167,          ,124162, 6.34, 1.35
212.812917,+32.295556,          ,124186, 6.11, 1.26
213.416250,-54.625833,          ,124195, 6.11, 0.05
213.191667,-27.261111, 50    Hya,124206, 5.08, 1.16
213.065833, +2.409444,          ,124224, 5.01,-0.12
213.305000,-26.612222,          ,124281, 6.24, 1.08
213.224167,-10.273611, 98Kap Vir,124294, 4.19, 1.33
213.737500,-57.085833,          ,124367, 5.07,-0.08
213.420000, -0.845556,          ,124425, 5.91, 0.47
213.677500,-41.837500,          ,124433, 5.61, 0.93
213.838333,-53.509722,          ,124454, 6.39, 1.57
214.160833,-66.587778,          ,124471, 5.75,-0.06
212.212083,+77.547500,  4    UMi,124547, 4.82, 1.36
213.588750, -5.947500,          ,124553, 6.36, 0.60
213.521667,+12.959444, 14    Boo,124570, 5.54, 0.54
213.755417,-29.281944,          ,124576, 6.08,
213.911667,-45.000833,          ,124580, 6.31, 0.60
214.142500,-59.913889,          ,124601, 6.39, 2.04
216.097083,-82.848611,          ,124639, 6.42, 0.02
213.365417,+51.787778, 17Kap1Boo,124674, 6.69, 0.39
213.370833,+51.790278, 17Kap2Boo,124675, 4.54, 0.20
213.711667,+10.100556, 15    Boo,124679, 5.29, 1.00
213.720833, +3.336111,          ,124681, 6.45, 1.60
213.850417,-18.200833,          ,124683, 5.43,-0.03
213.670833,+21.873333,          ,124713, 6.39, 0.18
213.016667,+69.432500,          ,124730, 5.24, 1.58
213.597917,+41.518889,          ,124755, 6.24, 1.04
215.594583,-80.108889,   Eps Aps,124771, 5.06,-0.10
214.076250,-33.241389,          ,124780, 6.55, 0.30
214.003750, -6.000556, 99Iot Vir,124850, 4.08, 0.52
216.728750,-83.667778,   Del Oct,124882, 4.32, 1.31
213.915417,+19.182500, 16Alp Boo,124897,-0.04, 1.23
214.089583, -6.621944,          ,124915, 6.44, 0.28
214.125417, -3.196389,          ,124931, 6.15,-0.01
214.017500,+18.911944,          ,124953, 5.98, 0.26
214.265833,-18.585278,          ,124990, 6.22, 0.98
213.820417,+52.535833,          ,125019, 6.58, 0.10
214.136667,+20.121389,          ,125040, 6.25, 0.49
214.100833,+39.744722,          ,125111, 6.38, 0.36
214.599167,-33.220556,          ,125150, 6.54, 0.27
214.964583,-61.273056,          ,125158, 5.23, 0.29
214.041250,+51.367222, 21Iot Boo,125161, 4.75, 0.20
214.095833,+46.088333, 19Lam Boo,125162, 4.18, 0.08
214.368333,+15.263333,          ,125180, 5.80, 1.71
214.502500, -7.542500,          ,125184, 6.47, 0.73
214.850833,-46.057778,   Iot Lup,125238, 3.55,-0.18
214.659583,-18.716111,          ,125248, 5.90, 0.00
214.753333,-25.815556,          ,125276, 5.87, 0.50
214.849583,-37.003611,          ,125283, 5.94, 0.08
215.081250,-56.386667,          ,125288, 4.33, 0.12
214.777500,-13.371111,100Lam Vir,125337, 4.52, 0.13
214.337917,+51.307222,          ,125349, 6.20, 0.04
214.499167,+35.509444,          ,125351, 4.81, 1.06
215.040417,-43.058889,          ,125383, 5.56, 0.92
214.455000,+48.001667,          ,125406, 6.32, 0.44
215.177083,-45.187222,          ,125442, 4.77, 0.31
214.817917,+13.004167, 18    Boo,125451, 5.41, 0.38
214.885417, -2.265556,102Ups Vir,125454, 5.14, 1.02
215.139167,-37.885278,   Psi Cen,125473, 4.05,-0.03
214.920417, +0.384167,          ,125489, 6.19, 0.20
214.732083,+38.767500,          ,125538, 6.86, 1.06
214.938333,+16.306944, 20    Boo,125560, 4.86, 1.23
215.654167,-58.459444,          ,125628, 4.92, 0.86
214.732500,+54.864167,          ,125632, 6.53,
214.948750,+38.793889,          ,125642, 6.33, 0.05
215.036250,+30.429167,          ,125658, 6.44, 0.15
215.661250,-48.320278,          ,125721, 6.09,-0.13
215.582083,-34.786944,          ,125745, 5.56,-0.09
215.834583,-50.772222,          ,125810, 6.02, 1.36
215.759167,-39.512222,          ,125823, 4.42,-0.18
216.276250,-68.195278,          ,125835, 5.61, 0.49
215.951667,-53.176667,          ,125869, 6.00, 1.10
215.774167,-27.753889, 51    Hya,125932, 4.77, 1.31
216.414583,-66.173333,          ,125990, 6.36, 0.13
215.856667,-11.714167,  2    Lib,126035, 6.21, 0.99
215.813750, +1.241667,          ,126053, 6.27, 0.63
215.844167, +8.445000,          ,126128, 6.86, 0.43
215.844583, +8.446667,          ,126129, 5.12,-0.02
215.778333,+25.338056,          ,126141, 6.22, 0.37
216.003750, +8.243611,          ,126200, 5.95, 0.06
217.403333,-76.729167,          ,126209, 6.07, 1.18
216.202500,-24.806389,          ,126218, 5.32, 0.96
216.779583,-65.821667,          ,126241, 5.85, 1.50
216.047083, +5.820000,          ,126248, 5.10, 0.12
216.170417,-11.669722,          ,126251, 6.49, 0.42
216.076250, +8.085000,          ,126271, 6.19, 1.20
216.534167,-45.221389,   Tau1Lup,126341, 4.56,-0.15
216.545000,-45.379444,   Tau2Lup,126354, 4.35, 0.43
216.374167,-19.969722,          ,126367, 6.61, 0.14
216.555833,-42.319167,          ,126386, 6.32, 1.19
216.448750,-26.852500,          ,126400, 6.48, 0.94
216.707917,-39.873889,          ,126475, 6.35,-0.08
216.800833,-46.134444,          ,126504, 5.83, 0.31
216.371667,+38.393056,          ,126597, 6.27, 1.23
217.181250,-59.197778,          ,126610, 6.45, 0.14
216.299167,+51.850833, 23The Boo,126660, 4.05, 0.50
216.614167,+19.226944, 22    Boo,126661, 5.39, 0.23
216.851667, -6.120278,104    Vir,126722, 6.17, 0.09
217.043333,-29.491667, 52    Hya,126769, 4.97,-0.07
217.818750,-67.717222,          ,126862, 5.83, 1.00
217.050417, -2.228056,105Phi Vir,126868, 4.81, 0.70
217.173750, -6.900556,106    Vir,126927, 5.42, 1.49
216.863750,+41.025000,          ,126943, 6.63, 0.37
217.535833,-45.321667,          ,126981, 5.50,-0.08
217.587083,-49.519167,          ,126983, 5.37, 0.05
217.068333,+36.196944,          ,127065, 6.10,
217.735417,-40.845000,          ,127152, 6.39, 1.44
217.460417, +0.828889,          ,127167, 5.94, 0.16
217.795000,-38.869722,          ,127193, 5.97, 1.06
217.157500,+49.844722, 24    Boo,127243, 5.59, 0.85
218.137083,-56.887778,          ,127297, 6.93, 0.91
217.457083,+31.791111,          ,127304, 6.06,-0.03
217.403333,+41.795833,          ,127334, 6.35, 0.70
217.689167, +4.772222,          ,127337, 6.02, 1.42
218.153750,-50.456944,   Sig Lup,127381, 4.42,-0.19
218.385000,-54.998333,          ,127486, 5.87, 0.48
218.374583,-52.680000,          ,127501, 5.87, 1.09
218.290000,-30.714167,          ,127624, 6.09, 1.03
217.957500,+30.371389, 25Rho Boo,127665, 3.58, 1.30
216.881250,+75.696111,  5    UMi,127700, 4.25, 1.44
218.533333,-42.099722,          ,127716, 6.60, 0.06
218.821667,-60.015833,          ,127724, 6.40, 1.26
218.084167,+26.677222,          ,127726, 6.01, 0.22
218.135417,+22.260000, 26    Boo,127739, 5.92, 0.35
218.019583,+38.308333, 27Gam Boo,127762, 3.03, 0.19
217.692083,+63.185556,          ,127821, 6.09, 0.41
217.928333,+60.225556,          ,127929, 6.27, 0.24
218.711250,-20.439167,          ,127964, 6.50, 0.14
218.881250,-41.517222,          ,127971, 5.87,-0.08
218.876667,-42.157778,   Eta Cen,127972, 2.31,-0.19
218.334583,+36.959444,          ,127986, 6.43,
218.128750,+55.397778,          ,128000, 5.76, 1.50
219.442917,-67.932222,          ,128020, 6.04, 0.50
219.079167,-46.245278,          ,128068, 5.55, 1.48
218.548750,+32.534444,          ,128093, 6.33, 0.40
219.100833,-39.597222,          ,128152, 6.13, 1.05
218.670000,+29.745000, 28Sig Boo,128167, 4.46, 0.36
218.660417,+36.625833,          ,128198, 6.03, 1.38
219.184167,-40.211667,          ,128207, 5.74,-0.12
219.333750,-46.133889,          ,128266, 5.41, 1.01
218.566250,+57.065278,          ,128332, 6.48, 0.49
218.665000,+49.368333,          ,128333, 5.74, 1.56
219.471667,-49.425833,   Rho Lup,128345, 4.05,-0.15
219.028750,+23.250278,          ,128402, 6.38, 1.06
219.249167,-12.305278,          ,128429, 6.20, 0.46
219.581667,-38.794167,          ,128488, 6.02, 1.43
219.795833,-46.584167,          ,128582, 6.07, 0.51
219.852917,-49.055556,          ,128617, 6.39, 0.44
219.899583,-60.835278,   Alp1Cen,128620,-0.01, 0.71
219.900417,-60.835556,   Alp2Cen,128621, 1.33, 0.88
220.136667,-56.440833,          ,128713, 6.30, 1.18
219.558333,+18.298333,          ,128750, 5.91, 1.10
220.626667,-64.975278,   Alp Cir,128898, 3.19, 0.24
219.552083,+43.641944,          ,128902, 5.70, 1.48
220.482083,-58.616111,          ,128917, 6.22, 0.45
220.255833,-36.135000,          ,128974, 5.67,-0.08
219.563333,+54.023333,          ,128998, 5.85,-0.01
219.709167,+44.404444, 33    Boo,129002, 5.39, 0.00
220.482500,-47.388333,   Alp Lup,129056, 2.30,-0.20
221.965000,-79.044722,   Alp Aps,129078, 3.83, 1.43
220.490000,-37.793611,          ,129116, 4.00,-0.17
220.091250,+21.975556,          ,129132, 6.10, 0.40
220.176667,+13.534167,          ,129153, 5.91, 0.21
220.462917,-30.933333,          ,129161, 6.37,-0.09
220.181667,+16.418333, 29Pi 1Boo,129174, 4.94,-0.03
220.182917,+16.417778, 29Pi 2Boo,129175, 5.88, 0.24
220.287083,+13.728333, 30Zet Boo,129246, 4.83,
220.287083,+13.728333, 30Zet Boo,129247, 4.43, 0.05
218.409583,+79.660278,          ,129245, 6.26, 1.30
220.411667, +8.161667, 31    Boo,129312, 4.86, 1.00
220.431250,+11.660556, 32    Boo,129336, 5.56, 0.94
221.322083,-62.875833,          ,129422, 5.36, 0.29
220.475833,+21.123611,          ,129430, 6.38,
220.806667,-24.997500,  4    Lib,129433, 5.73,-0.01
220.914167,-35.173611,          ,129456, 4.05, 1.35
221.231250,-58.477778,          ,129462, 6.11, 1.02
220.765000, -5.658333,107Mu  Vir,129502, 3.88, 0.38
221.295417,-55.601944,          ,129557, 6.10,-0.06
221.246667,-35.191944,          ,129685, 4.92, 0.01
220.855833,+26.527778, 34    Boo,129712, 4.81, 1.66
232.079583,-88.133056,          ,129723, 6.48, 0.30
220.513333,+61.261944,          ,129798, 6.25, 0.41
220.935000,+40.459167,          ,129846, 5.73, 1.39
221.621250,-47.441111,          ,129858, 5.74, 0.07
221.755417,-52.383611,          ,129893, 5.21, 0.98
221.298750, -1.417778,          ,129902, 6.07, 1.61
221.500417,-25.443056, 54    Hya,129926, 4.94, 0.35
221.801250,-52.205556,          ,129932, 6.07, 0.09
221.528333,-23.153056,          ,129944, 5.81, 0.98
222.185000,-66.593889,          ,129954, 5.91,-0.07
221.375833, +0.717222,108    Vir,129956, 5.69,-0.03
221.310417,+16.964444, 35Omi Boo,129972, 4.60, 0.98
221.490833,-15.459722,  5    Lib,129978, 6.33, 1.19
221.545417,-21.176111,          ,129980, 6.40, 0.58
221.246667,+27.075000, 36Eps Boo,129988, 5.12,
221.246667,+27.074167, 36Eps Boo,129989, 2.70, 0.97
221.336250,+18.884722,          ,130025, 6.13, 0.83
221.771250,-38.290833,          ,130055, 5.94, 1.33
221.883750,-43.557500,          ,130073, 6.30, 1.08
221.307083,+32.788333,          ,130084, 6.28, 1.58
221.562083, +1.892778,109    Vir,130109, 3.72,-0.01
221.525000,+15.131944,          ,130144, 5.63, 1.57
221.807083,-21.324722,          ,130157, 6.06, 1.65
221.843750,-25.624444, 55    Hya,130158, 5.63,
222.278750,-56.667778,          ,130227, 6.23, 1.13
221.936667,-26.087500, 56    Hya,130259, 5.24, 0.94
221.989583,-26.646389, 57    Hya,130274, 5.77,-0.02
221.978750,-12.839722,          ,130325, 6.35, 1.10
222.158750,-36.634722,          ,130328, 6.04, 1.54
223.307083,-73.190000,          ,130458, 5.60, 0.82
222.327917,-24.251667,          ,130529, 5.68, 1.30
222.225417, -0.847778,          ,130557, 6.14,-0.04
222.329583,-14.148889,  7Mu  Lib,130559, 5.31, 0.07
222.097083,+24.366667,          ,130603, 6.14, 0.48
225.461667,-83.227778,   Pi 1Oct,130650, 5.65, 0.95
222.572083,-27.960278, 58    Hya,130694, 4.41, 1.40
223.145833,-63.810000,          ,130701, 5.87, 0.72
222.910000,-43.575556,   Omi Lup,130807, 4.32,-0.15
222.277917,+37.811111,          ,130817, 6.16, 0.36
222.671667,-15.997222,  8Alp1Lib,130819, 5.15, 0.41
222.719583,-16.041667,  9Alp2Lib,130841, 2.75, 0.15
222.493333,+28.615833,          ,130917, 5.80, 0.05
222.327917,+46.116111, 38    Boo,130945, 5.74, 0.48
222.565833,+23.911944,          ,130948, 5.85, 0.56
222.754167, -2.299167, 11    Lib,130952, 4.94, 0.98
222.750417, -0.257222,          ,130970, 6.18, 1.40
222.384583,+51.374722,          ,131040, 6.51, 0.40
222.422083,+48.720556, 39    Boo,131041, 5.69, 0.47
223.676667,-65.991389,   Zet Cir,131058, 6.09,-0.06
224.470417,-76.662778,          ,131109, 5.34, 1.45
222.623333,+37.271944,          ,131111, 5.48, 1.02
223.137917,-30.576944,          ,131117, 6.29, 0.60
223.212917,-37.803333,          ,131120, 5.03,-0.16
222.847083,+19.101111, 37Xi  Boo,131156, 4.55, 0.76
226.194583,-83.038333,   Pi 2Oct,131246, 5.65, 1.30
223.894167,-60.114167,          ,131342, 5.20, 1.16
225.049167,-77.160278,          ,131425, 5.93, 1.05
223.583750,-24.642222, 12    Lib,131430, 5.30, 1.32
223.658333,-33.300556,          ,131432, 5.82, 1.42
223.347083,+15.704444,          ,131473, 6.40, 0.57
224.183333,-62.780833,   The Cir,131492, 5.11, 0.00
222.860000,+59.293889,          ,131507, 5.46, 1.36
223.348750,+19.152778,          ,131511, 6.01, 0.83
223.595417,-11.898333, 13Xi 1Lib,131530, 5.80, 0.97
224.983333,-75.032500,          ,131551, 6.20,-0.04
224.072083,-52.809722,          ,131562, 5.38, 0.13
227.784583,-84.787500,   Ome Oct,131596, 5.91,-0.06
223.936250,-33.855833,          ,131625, 5.32, 0.04
224.133333,-47.879167,          ,131657, 5.64,-0.04
224.255833,-51.446944,          ,131705, 6.64, 1.70
224.149167,-39.416111,          ,131752, 6.36, 0.06
224.128750,-32.636667,          ,131774, 6.06, 1.41
222.676250,+74.155556,  7Bet UMi,131873, 2.08, 1.47
224.192083,-11.409722, 15Xi 2Lib,131918, 5.46, 1.49
224.306667,-29.157778,          ,131919, 6.29,-0.04
224.536667,-48.863056,          ,131923, 6.35, 0.71
224.055000,+14.446389,          ,131951, 5.77,-0.06
224.366667,-21.415556,          ,131977, 5.74, 1.11
223.994583,+32.300278,          ,132029, 6.12, 0.10
224.295833, -4.346389, 16    Lib,132052, 4.49, 0.32
224.632917,-43.133889,   Bet Lup,132058, 2.68,-0.22
224.653333,-39.906667,          ,132096, 6.15, 1.23
224.388750, -0.167500,          ,132132, 5.53, 1.13
224.265000,+21.555278,          ,132145, 6.49,-0.01
224.298750,+16.388333,          ,132146, 5.71, 0.94
224.790417,-42.104167,   Kap Cen,132200, 3.13,-0.20
224.663333,-27.657222, 59    Hya,132219, 5.65, 0.24
224.555833,-11.155000, 17    Lib,132230, 6.60, 0.01
224.807917,-37.881389,          ,132238, 6.47,-0.08
224.862917,-43.160000,          ,132242, 6.10, 0.60
224.095833,+49.628611,          ,132254, 5.63, 0.50
224.723333,-11.144167, 18    Lib,132345, 5.87, 1.26
224.720000, -4.989167,          ,132375, 6.09, 0.50
224.846250, +4.567778,          ,132525, 5.93, 1.60
225.304167,-38.058333,          ,132604, 5.89, 1.24
225.243333, -8.518889, 19Del Lib,132742, 4.92, 0.00
225.492083,-34.358889,          ,132763, 6.22, 0.24
224.903750,+39.265278, 40    Boo,132772, 5.64, 0.31
224.395833,+65.932500,          ,132813, 4.60, 1.59
225.332500, -2.755000,          ,132833, 5.52, 1.68
225.526667,-28.060556, 60    Hya,132851, 5.85, 0.16
225.218333,+22.045556,          ,132879, 6.38,
226.200833,-64.031667,   Eta Cir,132905, 5.17, 0.93
225.453750, -0.140556,          ,132933, 5.71, 1.52
225.747083,-32.643333,          ,132955, 5.44,-0.12
222.585000,+82.511944,          ,133002, 5.64, 0.68
225.161250,+47.277778,          ,133029, 6.37,-0.14
226.786250,-71.905278,          ,133049, 6.52, 1.59
225.687083, -3.031389,          ,133112, 6.61, 0.20
225.527083,+25.008056, 41Ome Boo,133124, 4.81, 1.50
225.725000, +2.091389,110    Vir,133165, 4.40, 1.04
225.486667,+40.390556, 42Bet Boo,133208, 3.50, 0.97
226.017500,-25.281944, 20Sig Lib,133216, 3.29, 1.70
226.178750,-40.861389,          ,133220, 6.41, 1.46
226.280000,-47.051111,   Pi  Lup,133242, 4.72,-0.14
226.280000,-47.051111,   Pi  Lup,133243, 4.82,
226.329583,-41.067222,          ,133340, 5.15, 1.01
225.362917,+60.204444,          ,133388, 5.93, 0.09
225.775417,+35.205833,          ,133392, 5.51, 1.02
226.026667, +5.492500,          ,133408, 6.50, 0.31
226.986667,-65.275556,          ,133456, 6.17, 1.47
225.777500,+44.644444,          ,133484, 6.65, 0.46
225.902083,+34.566111,          ,133485, 6.59, 1.02
226.448750,-25.789722,          ,133529, 6.67,-0.01
226.557917,-36.264167,          ,133550, 6.27, 1.65
226.111250,+26.947500, 43Psi Boo,133582, 4.54, 1.24
226.857917,-49.088333,          ,133631, 5.77, 0.92
225.947500,+47.654444, 44    Boo,133640, 4.76, 0.65
226.638750,-30.918889,          ,133652, 5.96,-0.08
226.612917,-22.031944,          ,133670, 6.17, 1.05
227.374583,-67.084167,          ,133683, 5.76, 0.69
226.656667,-16.256944, 21Nu  Lib,133774, 5.20, 1.58
227.356250,-63.642778,          ,133792, 6.28, 0.06
227.050417,-40.583889,          ,133880, 5.79,-0.14
227.162917,-42.867778,          ,133937, 5.85,-0.11
227.210833,-45.279722,   Lam Lup,133955, 4.05,-0.18
226.357500,+48.151111, 47    Boo,133962, 5.57, 0.00
228.140833,-72.770278,          ,133981, 6.01, 0.00
225.990833,+65.919722,          ,133994, 6.13,
226.646250,+36.455556,          ,134044, 6.35, 0.52
226.917917, +5.498056,          ,134047, 6.16, 0.94
227.685833,-61.422500,          ,134060, 6.30, 0.63
226.835000,+18.441667,          ,134064, 6.02, 0.06
226.825417,+24.869167, 45    Boo,134083, 4.93, 0.43
226.569583,+54.556389,          ,134190, 5.25, 0.96
227.531250,-38.792500,          ,134255, 5.98,
227.816667,-55.346111,          ,134270, 5.54, 1.14
227.099167,+26.301111, 46    Boo,134320, 5.67, 1.24
227.222500,+13.235000,          ,134323, 6.10, 0.96
227.147917,+25.108611,          ,134335, 5.81, 1.24
227.577500,-26.332778,          ,134373, 5.76, 1.05
227.895417,-45.277500,          ,134444, 6.44, 1.04
228.579583,-70.079444,          ,134453, 5.81, 3.38
228.254167,-61.743889,          ,134468, 6.32, 1.90
227.983750,-48.737778,   Kap1Lup,134481, 3.87,-0.05
227.990000,-48.743611,   Kap2Lup,134482, 5.69, 0.14
227.081250,+50.055000,          ,134493, 6.39, 1.03
228.071250,-52.099167,   Zet Lup,134505, 3.41, 0.92
228.130417,-48.218611,          ,134597, 6.33, 1.12
228.206250,-44.500556,          ,134687, 4.82,-0.17
228.055417,-19.791667, 24Iot1Lib,134759, 4.54,-0.08
228.280833,-36.091389,          ,134837, 6.10,-0.08
228.017917,+18.975833,          ,134943, 5.89, 1.53
228.322917,-24.008333,          ,134946, 6.47,-0.04
228.330000,-19.647500, 25Iot2Lib,134967, 6.08, 0.12
228.369583,-25.309167, 23    Lib,134987, 6.45, 0.70
228.472083,-26.193611,          ,135051, 5.84, 1.14
228.181250,+19.285833,          ,135101, 6.68, 0.68
228.655417,-31.519167,  1    Lup,135153, 4.91, 0.37
229.151667,-60.903889,          ,135160, 5.73,-0.08
228.640417,-17.768611, 26    Lib,135230, 6.17,-0.05
228.974167,-48.074167,          ,135235, 5.95, 0.21
229.236250,-60.957500,   Del Cir,135240, 5.09,-0.06
228.382917,+22.983333,          ,135263, 6.30, 0.06
229.412083,-63.610556,   Eps Cir,135291, 4.86, 1.25
229.016667,-41.491111,          ,135345, 5.16, 0.58
229.043750,-43.484722,          ,135348, 6.04,-0.14
228.711250, -5.502778,          ,135367, 6.28, 1.47
229.378333,-58.801111,   Bet Cir,135379, 4.07, 0.09
229.727500,-68.679444,   Gam TrA,135382, 2.89, 0.00
227.683750,+67.781389,          ,135384, 6.17,
228.398333,+38.264722,          ,135402, 6.20, 1.20
228.525417,+31.788056,          ,135438, 5.99, 1.52
228.797500, +4.939444,  3    Ser,135482, 5.33, 1.09
228.621667,+29.164167, 48Chi Boo,135502, 5.26, 0.03
228.542917,+42.171389,          ,135530, 6.13, 1.66
229.095833,-22.399444,          ,135534, 5.50, 1.38
228.954583, +0.372222,  4    Ser,135559, 5.63, 0.18
229.703750,-60.496389,          ,135591, 5.46,-0.10
228.875833,+33.314722, 49Del Boo,135722, 3.47, 0.95
229.539167,-41.060833,          ,135730, 6.28, 0.18
229.633333,-47.875000,   Mu  Lup,135734, 4.27,-0.08
230.169583,-67.481389,          ,135737, 6.28,-0.09
229.251667, -9.383056, 27Bet Lib,135742, 2.61,-0.11
229.457917,-30.148889,  2    Lup,135758, 4.34, 1.10
229.735000,-40.788333,          ,135876, 5.59,-0.10
229.672083,-31.209444,          ,135896, 6.18, 1.23
229.881667,-37.096667,          ,136014, 6.20, 0.96
229.609167, -0.461389,          ,136028, 5.89, 1.51
228.659583,+67.346667,          ,136064, 5.13, 0.53
229.602083,+20.572778,          ,136138, 5.70, 0.97
228.716250,+68.945278,          ,136174, 6.51,
229.828333, +1.765278,  5    Ser,136202, 5.06, 0.54
230.342917,-40.647500,   Del Lup,136298, 3.22,-0.22
230.397083,-40.749722,          ,136334, 6.20, 0.07
230.375417,-38.219167,          ,136347, 6.48,-0.06
230.534583,-47.927778,   Nu 1Lup,136351, 5.00, 0.50
230.450833,-48.317778,   Nu 2Lup,136352, 5.65, 0.65
230.793333,-60.656944,          ,136359, 5.67, 0.48
230.223750,-18.158611, 28    Lib,136366, 6.17, 1.02
229.875833,+32.515278,          ,136403, 6.32, 0.24
230.255833,-15.548333, 29Omi Lib,136407, 6.30, 0.41
230.844583,-59.320833,   Gam Cir,136415, 4.51, 0.19
230.451667,-36.261389,   Phi1Lup,136422, 3.56, 1.54
230.196250, -2.413333,          ,136442, 6.35, 1.06
230.281667, -5.824722,          ,136479, 5.54, 1.04
230.670417,-44.689444,   Eps Lup,136504, 3.37,-0.18
230.035417,+29.616111,  1Omi CrB,136512, 5.51, 1.02
230.258333, +0.715278,  6    Ser,136514, 5.35, 1.19
230.278750,+24.957778,          ,136643, 6.39, 1.23
230.789167,-36.858611,   Phi2Lup,136664, 4.54,-0.15
231.561250,-68.309167,          ,136672, 5.89, 1.02
229.274583,+71.823889, 11    UMi,136726, 5.02, 1.37
230.021667,+51.958611,          ,136729, 5.66, 0.11
230.173333,+44.434167,          ,136751, 6.19, 0.39
230.596667,+12.567500,  7    Ser,136831, 6.28,-0.02
230.452500,+32.933889, 50    Boo,136849, 5.37,-0.07
231.187083,-39.710278,   Ups Lup,136933, 5.37,-0.11
230.967500,-12.369444,          ,136956, 5.72, 1.04
230.932083, -1.022500,  8    Ser,137006, 6.12, 0.25
231.049583,-10.322222, 31Eps Lib,137052, 4.94, 0.44
231.334167,-38.733611,          ,137058, 4.60, 0.00
231.887917,-64.531389,          ,137066, 5.71, 1.64
230.655833,+39.581389,          ,137071, 5.50, 1.59
230.801250,+30.287778,  2Eta CrB,137107, 5.58, 0.58
230.801250,+30.287778,  2Eta CrB,137108, 6.08,
235.820000,-84.465278,   Rho Oct,137333, 5.57, 0.11
232.878333,-73.389444,   Kap1Aps,137387, 5.49,-0.12
230.655417,+62.047222,          ,137389, 5.98,-0.03
231.021250,+45.271111,          ,137390, 6.01, 1.20
231.122500,+37.377222, 51Mu 1Boo,137391, 4.31, 0.31
231.128750,+37.347778, 51Mu 2Boo,137392, 6.50, 0.59
230.182083,+71.833889, 13Gam UMi,137422, 3.05, 0.05
231.825833,-36.767778,          ,137432, 5.45,-0.15
230.660000,+63.341389,          ,137443, 5.79, 1.27
232.113333,-51.597500,          ,137465, 6.10, 1.09
231.447500,+15.428056,  9Tau1Ser,137471, 5.17, 1.66
231.472083,+19.480833,          ,137510, 6.27, 0.60
231.572500,+34.335833,          ,137704, 5.46, 1.40
232.351250,-46.732778,          ,137709, 5.24, 1.74
232.064167,-16.716389, 32Zet1Lib,137744, 5.64, 1.55
231.232500,+58.966111, 12Iot Dra,137759, 3.29, 1.16
231.912083,+25.101667,          ,137853, 6.02, 1.62
232.159167, +1.842222, 10    Ser,137898, 5.17, 0.23
231.957083,+29.105833,  3Bet CrB,137909, 3.68, 0.28
231.635417,+54.020000,          ,137928, 6.45, 0.05
232.651250,-20.728333,          ,138105, 6.22, 0.17
232.668333,-16.609444, 34Zet3Lib,138137, 5.82, 1.06
233.018333,-38.623056,          ,138204, 6.25, 0.20
232.185417,+47.201389,          ,138213, 6.15, 0.10
232.959583,-32.881111,          ,138221, 6.46, 0.09
231.920000,+62.275556,          ,138245, 6.50, 0.14
231.964167,+60.670278,          ,138265, 5.90, 1.44
232.930833,-20.164722,          ,138268, 6.22, 0.22
234.826250,-77.918056,          ,138289, 6.18, 1.20
232.730833, +8.579167,          ,138290, 6.57, 0.37
232.236667,+55.195000,          ,138338, 6.43, 0.08
232.594583,+31.286111,          ,138341, 6.46, 0.19
232.616250,+36.804167,          ,138383, 6.37,
233.152917,-19.670556,          ,138413, 5.52, 0.18
232.732500,+40.833056, 52Nu 1Boo,138481, 5.02, 1.59
233.230000,-16.852778, 35Zet4Lib,138485, 5.50,-0.14
234.072500,-65.613333,          ,138498, 6.51, 0.35
233.506667,-40.066111,          ,138505, 5.82, 1.68
232.338333,+62.099722,          ,138524, 6.38,
232.843333,+36.616389,          ,138525, 6.38, 0.50
233.040417,+16.056111, 12Tau2Ser,138527, 6.22,-0.05
234.180000,-66.316944,   Eps TrA,138538, 4.11, 1.17
233.241250, -1.186389, 11    Ser,138562, 5.51, 1.09
233.587083,-39.349444,          ,138564, 6.36,-0.03
