ra,dec,Name,HD,Vmag,bv
023.357500,+58.327500,          ,  9352, 5.70, 1.52
022.812917,-49.072778,   Del Phe,  9362, 3.95, 0.99
022.930417,-30.283333,          ,  9377, 5.82, 1.08
023.482917,+59.231944, 39Chi Cas,  9408, 4.71, 1.00
022.912917,-45.575556,          ,  9414, 6.17, 0.06
023.264583, -9.014722,          ,  9484, 6.59,-0.04
023.233333,-36.865278,          ,  9525, 5.51, 1.02
023.569167,+37.237222,          ,  9531, 5.88,-0.07
023.151250,-49.727778,          ,  9544, 6.28, 0.46
023.428750, -7.025278,          ,  9562, 5.76, 0.64
024.343750,+74.300833,          ,  9612, 6.58, 0.03
023.704583,+18.460556,          ,  9640, 5.89, 1.52
023.657500,-15.676111, 49    Cet,  9672, 5.63, 0.07
023.968750,+41.076389,          ,  9712, 6.38, 1.11
023.711250,-31.892222,          ,  9742, 6.12, 1.11
024.113333,+48.722778,          ,  9746, 5.92, 1.21
023.943333,+14.661389,101    Psc,  9766, 6.22,-0.04
024.628750,+73.040000, 40    Cas,  9774, 5.28, 0.96
023.978333,+17.433611,          ,  9780, 5.80,
024.199167,+41.405556, 50Ups And,  9826, 4.09, 0.54
023.995833,-15.400278, 50    Cet,  9856, 5.42, 1.21
023.813333,-58.139444,          ,  9896, 6.01, 0.38
024.531667,+57.977500,          ,  9900, 5.56, 1.38
024.035000,-29.907500,   Tau Scl,  9906, 5.69, 0.33
024.274583,+12.141667,102Pi  Psc,  9919, 5.57, 0.35
024.498333,+48.628333, 51    And,  9927, 3.57, 1.28
024.632083,+45.400000,          ,  9996, 6.36, 0.04
024.407083, -9.403889,          , 10009, 6.24, 0.53
023.413333,-78.504722,          , 10042, 6.11, 0.97
024.186667,-58.270833,          , 10052, 6.18, 1.61
024.837500,+44.386111, 52Chi And, 10072, 4.98, 0.89
025.054583,+53.868333,          , 10110, 6.39, 1.61
024.614167,-36.528333,          , 10142, 5.94, 1.05
024.428750,-57.236667,   Alp Eri, 10144, 0.46,-0.16
024.715833,-21.275278,          , 10148, 5.58, 0.34
024.708333,-25.021944,          , 10161, 6.70,-0.08
024.920000,+16.405833,105    Psc, 10164, 5.97, 1.12
025.165833,+43.297778,          , 10204, 5.61, 0.21
